Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",25.550000,-26.712500,-90.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.550000,-30.800000,180.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",20.750000,-21.500000,180.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.000000,-8.000000,-90.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.500000,-8.000000,90.000000,top
"CON1","TROPIC01","TROPIC01_mikrobus",11.720000,-37.860000,90.000000,top
"D1","LED_G","LED_0805_2012Metric",39.750000,-26.500000,90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",4.750000,-8.250000,90.000000,top
"IC1","TROPIC01_chip","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm",21.000000,-26.500000,90.000000,top
"IC2","TXU0304PWR","TSSOP-14_4.4x5mm_P0.65mm",28.000000,-8.000000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.750000,-17.000000,90.000000,top
"R2","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.250000,-8.000000,90.000000,top
"R6","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.750000,-8.000000,90.000000,top
"Shield1","Arduino_Uno_R3_Shield","Arduino_Uno_R3_Shield",-10.520119,-53.242500,0.000000,top
